Numero	url	cat1	cat2	cat3	cat4	cat5	cat6
0	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0	Arts & Photography	Architecture	Architects, A-Z			
1	https://www.amazon.com/s?bbn=157632011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157632011%2Cn%3A157634011&dc&qid=1689403032&rnid=157632011&ref=lp_157632011_nr_n_0	Arts & Photography	Architecture	Building Types & Styles	Religious Buildings		
2	https://www.amazon.com/s?bbn=157632011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157632011%2Cn%3A157635011&dc&qid=1689403032&rnid=157632011&ref=lp_157632011_nr_n_1	Arts & Photography	Architecture	Building Types & Styles	Specific Styles		
3	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157636011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_2	Arts & Photography	Architecture	Criticism			
4	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157637011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_3	Arts & Photography	Architecture	Drawing & Modelling			
5	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157639011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_4	Arts & Photography	Architecture	Historic Preservation			
6	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157640011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_5	Arts & Photography	Architecture	History & Periods			
7	https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157641011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_6	Arts & Photography	Architecture	Interior Design			
8	https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157646011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_0	Arts & Photography	Architecture	International	African		
9	https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157647011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_1	Arts & Photography	Architecture	International	Asian		
